Nr.;BLZ;Institut;Ort;RZ;Organisation;HBCI-Zugang DNS;HBCI- Zugang     IP-Adresse;HBCI-Version;DDV;RDH-1;RDH-2;RDH-3;RDH-4;RDH-5;RDH-6;RDH-7;RDH-8;RDH-9;RDH-10;RAH-7;RAH-9;RAH-10;PIN/TAN-Zugang URL;Version;Datum letzte énderung;;;;;
2135;58540035;Commerzbank;Saarburg;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
2136;58550130;Sparkasse Trier;Trier;Finanz Informatik GmbH & Co. KG;DSGV;banking-rp1.s-fints-pt-rp.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-rp1.s-fints-pt-rp.de/fints30;FinTS V3.0;09.07.2016;;;;;
2137;58560103;Volksbank Trier eG;Trier;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstÅtzt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
2138;58561626;Volksbank Saarburg eG;Saarburg;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstÅtzt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
2139;58561771;Raiba Mehring-Leiwen eG;Mehring-Leiwen;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstÅtzt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
2140;58570024;Deutsche Bank Privat und GeschÑftskunden;Trier;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
2141;58570024;Deutsche Bank Privat und GeschÑftskunden;Konz;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
2142;58570024;Deutsche Bank Privat und GeschÑftskunden;Wittlich;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
2143;58570048;Deutsche Bank;Trier;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
2144;58570048;Deutsche Bank;Konz;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
2145;58570048;Deutsche Bank;Wittlich;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
2146;58590900;PSD Bank Kîln;Kîln;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;;;;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;16.09.2016;;;;;
2147;58650030;Kreissparkasse Bitburg-PrÅm ;Bitburg-PrÅm ;Finanz Informatik GmbH & Co. KG;DSGV;banking-rp1.s-fints-pt-rp.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-rp1.s-fints-pt-rp.de/fints30;FinTS V3.0;09.07.2016;;;;;
2148;58651240;Kreissparkasse Vulkaneifel;Daun;Finanz Informatik GmbH & Co. KG;DSGV;banking-rp1.s-fints-pt-rp.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-rp1.s-fints-pt-rp.de/fints30;FinTS V3.0;09.07.2016;;;;;
2149;58660101;VB Bitburg eG;Baustert;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstÅtzt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
2150;58660101;Volksbank Bitburg eG;Bitburg;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstÅtzt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
2151;58661901;Raiffeisenbank Westeifel eG;Westeifel;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstÅtzt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
2152;58662653;Raiffeisenbank îstl. SÅdeifel eG;SÅdeifel;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstÅtzt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
2153;58751230;Sparkasse Mittelmosel-Eifel-Mosel-HunsrÅck;Bernkastel-Kues;Finanz Informatik GmbH & Co. KG;DSGV;banking-rp1.s-fints-pt-rp.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-rp1.s-fints-pt-rp.de/fints30;FinTS V3.0;09.07.2016;;;;;
2154;58760954;RB Bernkastel-Wittlich eG;Bernkastel-Wittlich;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstÅtzt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
2155;58761343;Raiffeisenbank Zeller Land eG;Zeller Land;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstÅtzt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
2156;58771224;Deutsche Bank Privat und GeschÑftskunden;Bernkastel-Kues;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
2157;58771224;Deutsche Bank Privat und GeschÑftskunden;Traben-Trarbach;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
2158;58771224;Deutsche Bank Privat und GeschÑftskunden;Zell (Mosel);eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
2159;58771242;Deutsche Bank;Bernkastel-Kues;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
2160;58771242;Deutsche Bank;Traben-Trarbach;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
2161;58771242;Deutsche Bank;Zell (Mosel);eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
2162;59010066;Postbank;SaarbrÅcken;eigenes Rechenzentrum;BdB;;;;;;;;;;;;;;;;;;https://hbci.postbank.de/banking/hbci.do;FinTS V3.0;10.04.2015;;;;;
2163;59020090;UniCredit Bank - HypoVereinsbank AG;SaarbrÅcken;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
2164;59020090;UniCredit Bank - HypoVereinsbank AG;ZweibrÅcken, Pfalz;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
2165;59020090;UniCredit Bank - HypoVereinsbank AG;Sulzbach, Saar;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
2166;59020090;UniCredit Bank - HypoVereinsbank AG;Vîlklingen;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
2167;59020090;UniCredit Bank - HypoVereinsbank AG;St. Wendel, Saar;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
2168;59020090;UniCredit Bank - HypoVereinsbank AG;Dillingen, Saar;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
2169;59020090;UniCredit Bank - HypoVereinsbank AG;Merzig;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
2170;59020090;UniCredit Bank - HypoVereinsbank AG;Homburg, Saar;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
2171;59020090;UniCredit Bank - HypoVereinsbank AG;St. Ingbert;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
2172;59020090;UniCredit Bank - HypoVereinsbank AG;Neunkirchen, Saar;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
2173;59040000;Commerzbank;Neunkirchen;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
2174;59040000;Commerzbank;Homburg;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
2175;59040000;Commerzbank;St. Wendel;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
2176;59040000;Commerzbank;Saarlouis;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
2177;59040000;Commerzbank;SaarbrÅcken;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
2178;59040000;Commerzbank;Dillingen;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
2179;59050000;SaarLB;SaarbrÅcken;Finanz Informatik GmbH & Co. KG;DSGV;banking-li2.s-fints-pt-li.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-li2.s-fints-pt-li.de/fints30;FinTS V3.0;09.07.2016;;;;;
2180;59050101;Sparkasse SaabrÅcken eG;SaarbrÅcken;Finanz Informatik GmbH & Co. KG;DSGV;banking-sl2.s-fints-pt-sl.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-sl2.s-fints-pt-sl.de/fints30;FinTS V3.0;21.05.2017;;;;;
2181;59070070;Deutsche Bank Privat und GeschÑftskunden;SaarbrÅcken;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
2182;59070070;Deutsche Bank Privat und GeschÑftskunden;Dillingen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
2183;59070070;Deutsche Bank Privat und GeschÑftskunden;Neunkirchen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
2184;59070070;Deutsche Bank Privat und GeschÑftskunden;Merzig;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
2185;59070070;Deutsche Bank Privat und GeschÑftskunden;Homburg;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
2186;59070070;Deutsche Bank Privat und GeschÑftskunden;St. Ingbert;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
2187;59070070;Deutsche Bank Privat und GeschÑftskunden;Saarlouis;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
2188;59070070;Deutsche Bank Privat und GeschÑftskunden;Vîlklingen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
2189;59090900;PSD Bank RheinNeckarSaar;SaarbrÅcken;Fiducia & GAD IT AG;BVR;;;;;;;;;;;;;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;16.09.2016;;;;;
2190;59092000;Vereinigte Volksbank eG Dillingen*Dudweiler*Sulzbach/Saar;Sulzbach, Saar;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;16.06.2018;;;;;
2191;59099550;Volksbank Nahe-Schaumberg;Nohfelden;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2192;59190000;Bank 1 Saar;SaarbrÅcken;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2193;59251020;Kreissparkasse St. Wendel;St. Wendel;Finanz Informatik GmbH & Co. KG;DSGV;banking-sl2.s-fints-pt-sl.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-sl2.s-fints-pt-sl.de/fints30;FinTS V3.0;09.07.2016;;;;;
2194;59252046;Sparkasse Neunkirchen;Neunkirchen;Finanz Informatik GmbH & Co. KG;DSGV;banking-sl2.s-fints-pt-sl.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-sl2.s-fints-pt-sl.de/fints30;FinTS V3.0;09.07.2016;;;;;
2195;59291000;St. Wendeler Volksbank;St. Wendel, Saar;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2196;59291200;Volksbank Saarpfalz;Homburg, Saar;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2197;59292400;Eppelborner Volksbank -alt-;Eppelborn;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2198;59320087;UniCredit Bank - HypoVereinsbank AG;Saarlouis;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
2199;59350110;Kreissparkasse Saarlouis;Saarlouis;Finanz Informatik GmbH & Co. KG;DSGV;banking-sl2.s-fints-pt-sl.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-sl2.s-fints-pt-sl.de/fints30;FinTS V3.0;09.07.2016;;;;;
2200;59351040;Sparkasse Merzig-Wadern;Merzig-Wadern;Finanz Informatik GmbH & Co. KG;DSGV;banking-sl2.s-fints-pt-sl.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-sl2.s-fints-pt-sl.de/fints30;FinTS V3.0;09.07.2016;;;;;
2201;59390100;Volksbank Saarlouis;Saarlouis;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2202;59391200;Volksbank öberherrn;öberherrn;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2203;59392000;Volksbank Dillingen;Dillingen, Saar;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2204;59392200;Volksbank Untere Saar;Losheim am See;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2205;59393000;LevoBank Vereinte VB Lebach Eppelborn;Lebach;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2206;59450010;Kreissparkasse Saarpfalz;Saarpfalz;Finanz Informatik GmbH & Co. KG;DSGV;banking-sl2.s-fints-pt-sl.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-sl2.s-fints-pt-sl.de/fints30;FinTS V3.0;09.07.2016;;;;;
2207;59491114;VR Bank Saarpfalz;Homburg, Saar;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2208;59491300;VR Bank Saarpfalz;Homburg, Saar;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2209;60010070;Postbank;Stuttgart;eigenes Rechenzentrum;BdB;;;;;;;;;;;;;;;;;;https://hbci.postbank.de/banking/hbci.do;FinTS V3.0;10.04.2015;;;;;
2210;60020100;SchwÑbische Bank AG;Stuttgart;B+S Banksysteme AG;BdB;www.warburg-bank.de;188.21.13.34;3.0;;;ja;ja;;ja;;;ja;ja;ja;;;;https://www.warburg-bank.de/fints;FinTS V3.0;15.02.2019;;;;;
2211;60020290;UniCredit Bank - HypoVereinsbank AG;Stuttgart;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
2212;60020290;UniCredit Bank - HypoVereinsbank AG;Lindau (Bodensee);eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
2213;60020290;UniCredit Bank - HypoVereinsbank AG;Lindenberg i. AllgÑu;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
2214;60020290;UniCredit Bank - HypoVereinsbank AG;Wangen im AllgÑu;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
2215;60020290;UniCredit Bank - HypoVereinsbank AG;Heilbronn, Neckar;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
2216;60020290;UniCredit Bank - HypoVereinsbank AG;Fellbach, WÅrtt;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
2217;60020290;UniCredit Bank - HypoVereinsbank AG;Friedrichshafen;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
2218;60030100;Bankhaus Bauer;Stuttgart;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2219;60030200;Bankhaus Ellwanger & Geiger;Stuttgart;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2220;60030700;AKTIVBANK;Pforzheim;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2221;60030900;Isbank AG;Frankfurt am Main;Bank-Verlag;BdB;;;3.0;;;;;;;;;;;;;;;https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp;FinTS V3.0;01.10.2018;;;;;
2222;60040071;Commerzbank;Fellbach;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
2223;60040071;Commerzbank;Leonberg;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
2224;60040071;Commerzbank;Stuttgart;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
2225;60040071;Commerzbank;Bîblingen;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
2226;60040071;Commerzbank;Schorndorf;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
2227;60040071;Commerzbank;Filderstadt;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
2228;60040071;Commerzbank;Waiblingen;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
2229;60050000;Landesbank Baden-WÅrttemberg;Stuttgart;eigenes Rechenzentrum;DSGV;;195.145.2.44;2.1;;ja;;;;;;;;;;;;;;;21.10.2004;;;;;
2230;60050101;Baden-WÅrttembergische Bank (BW-Bank);Stuttgart;Finanz Informatik GmbH & Co. KG;DSGV;banking-li4.s-fints-pt-li.de;;3.0;ja;;;;;;;;;;;;;;https://banking-li4.s-fints-pt-li.de/fints30;FinTS V3.0;19.04.2017;;;;;
2231;60060396;UntertÅrkheimer Volksbank;Stuttgart;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2232;60062775;Echterdinger Bank;Leinfelden-Echterdingen;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2233;60069066;Raiffeisenbank Niedere Alb;Langenau, WÅrtt;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2234;60069075;Raiffeisenbank Vellberg-Gro·altdorf;Vellberg;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2235;60069147;Raiffeisenbank Sondelfingen;Reutlingen;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2236;60069158;Raiffeisenbank Steinheim;Steinheim am Albuch;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2237;60069206;Raiffeisenbank;Aidlingen, WÅrtt;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2238;60069224;Genossenschaftsbank Weil im Schînbuch;Weil im Schînbuch;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2239;60069235;Raiffeisenbank Zndl VB Nordschwarzwald;Waldachtal;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
